x,y,z,
68.25,237.65,0.05361,
68.25,241.33,0.052981,
68.25,244.83,0.052134,
68.25,248.33,0.051339,
68.25,252,0.050954,
68.25,255.5,0.050655,
68.25,259.18,0.050239,
68.25,262.68,0.049802,
68.25,266.18,0.049719,
68.25,270.03,0.04962,
68.25,273.53,0.0497,
68.25,277.03,0.049124,
68.25,280.53,0.048761,
68.25,284.03,0.048459,
68.25,287.53,0.048379,
68.25,291.2,0.047877,
68.25,294.7,0.048037,
68.25,298.2,0.048092,
68.25,301.7,0.048302,
68.25,305.38,0.048865,
68.25,308.88,0.049405,
68.25,312.38,0.049719,
68.25,316.05,0.050526,
68.25,319.73,0.051515,
68.25,323.23,0.052264,
68.25,326.73,0.052809,
68.25,330.4,0.05348,
68.25,333.9,0.054118,
68.25,337.4,0.054811,
68.25,341.08,0.055785,
68.25,344.58,0.056789,
68.25,348.08,0.057849,
68.25,351.58,0.059121,
68.25,355.08,0.060581,
68.25,358.93,0.062538,
68.25,362.6,0.064013,
68.25,366.28,0.064737,
68.25,369.78,0.065347,
68.25,373.28,0.066453,
68.25,376.95,0.067088,
68.25,380.45,0.067664,
68.25,383.95,0.068416,
68.25,387.98,0.069177,
68.25,391.65,0.069919,
68.25,395.15,0.070403,
68.25,398.65,0.070849,
68.25,402.68,0.071533,
68.25,406.35,0.072128,
68.25,409.85,0.07235,
68.25,413.35,0.072778,
68.25,417.2,0.072892,
68.25,420.7,0.072818,
68.25,424.38,0.073129,
68.25,428.05,0.073425,
68.25,431.9,0.074328,
68.25,435.4,0.074605,
68.25,439.08,0.074673,
68.25,442.58,0.074238,
68.25,446.25,0.073958,
68.25,449.93,0.073172,
68.25,453.43,0.072615,
68.25,457.1,0.072125,
68.25,460.78,0.07169,
68.25,464.45,0.071743,
68.25,467.95,0.071746,
68.25,471.45,0.071241,
68.25,474.95,0.071016,
68.25,478.63,0.070917,
68.25,482.13,0.070535,
68.25,485.8,0.070224,
68.25,489.13,0.069851,
68.25,492.8,0.069793,
68.25,496.3,0.069497,
68.25,499.8,0.069537,
68.25,503.48,0.069777,
68.25,506.98,0.069947,
68.25,510.48,0.070144,
68.25,513.98,0.070581,
68.25,517.65,0.070637,
68.25,521.15,0.070489,
68.25,524.65,0.070662,
68.25,528.15,0.07011,
68.25,531.83,0.069626,
68.25,535.5,0.069137,
68.25,539.18,0.06845,
68.25,542.68,0.067954,
68.25,546.18,0.068043,
68.25,549.68,0.068049,
68.25,553.35,0.068413,
68.25,556.85,0.068785,
68.25,560.35,0.068751,
68.25,563.85,0.068674,
68.25,567.35,0.068761,
68.25,571.03,0.068628,
68.25,574.7,0.068801,
68.25,578.2,0.068761,
68.25,581.7,0.0684,
68.25,585.2,0.068071,
68.25,588.7,0.06727,
68.25,592.2,0.066379,
68.25,595.88,0.065856,
68.25,599.38,0.065178,
68.25,603.05,0.064654,
68.25,606.38,0.064235,
68.25,610.05,0.063967,
68.25,613.73,0.06356,
68.25,617.23,0.063656,
68.25,620.9,0.063511,
